,timestamp,location,cx_id,next_loc,prev_loc
0,2019-09-02 07:03:00,dairy,1,checkout,entrance
1,2019-09-02 07:05:00,checkout,1,LEFT,dairy
2,2019-09-02 07:03:00,dairy,2,checkout,entrance
3,2019-09-02 07:06:00,checkout,2,LEFT,dairy
4,2019-09-02 07:04:00,dairy,3,checkout,entrance
5,2019-09-02 07:06:00,checkout,3,LEFT,dairy
6,2019-09-02 07:04:00,dairy,4,checkout,entrance
7,2019-09-02 07:08:00,checkout,4,LEFT,dairy
8,2019-09-02 07:04:00,spices,5,checkout,entrance
9,2019-09-02 07:05:00,checkout,5,LEFT,spices
10,2019-09-02 07:04:00,spices,6,dairy,entrance
11,2019-09-02 07:05:00,dairy,6,spices,spices
12,2019-09-02 07:17:00,spices,6,drinks,dairy
13,2019-09-02 07:18:00,drinks,6,spices,spices
14,2019-09-02 07:25:00,spices,6,dairy,drinks
15,2019-09-02 07:26:00,dairy,6,spices,spices
16,2019-09-02 07:27:00,spices,6,checkout,dairy
17,2019-09-02 07:29:00,checkout,6,LEFT,spices
18,2019-09-02 07:04:00,spices,7,drinks,entrance
19,2019-09-02 07:05:00,drinks,7,spices,spices
20,2019-09-02 07:09:00,spices,7,fruit,drinks
21,2019-09-02 07:11:00,fruit,7,checkout,spices
22,2019-09-02 07:13:00,checkout,7,LEFT,fruit
23,2019-09-02 07:04:00,fruit,8,checkout,entrance
24,2019-09-02 07:07:00,checkout,8,LEFT,fruit
25,2019-09-02 07:06:00,dairy,9,fruit,entrance
26,2019-09-02 07:12:00,fruit,9,checkout,dairy
27,2019-09-02 07:13:00,checkout,9,LEFT,fruit
28,2019-09-02 07:06:00,fruit,10,checkout,entrance
29,2019-09-02 07:08:00,checkout,10,LEFT,fruit
30,2019-09-02 07:06:00,drinks,11,checkout,entrance
31,2019-09-02 07:08:00,checkout,11,LEFT,drinks
32,2019-09-02 07:06:00,spices,12,drinks,entrance
33,2019-09-02 07:07:00,drinks,12,checkout,spices
34,2019-09-02 07:10:00,checkout,12,LEFT,drinks
35,2019-09-02 07:06:00,dairy,13,spices,entrance
36,2019-09-02 07:13:00,spices,13,dairy,dairy
37,2019-09-02 07:14:00,dairy,13,fruit,spices
38,2019-09-02 07:15:00,fruit,13,checkout,dairy
39,2019-09-02 07:16:00,checkout,13,LEFT,fruit
40,2019-09-02 07:06:00,fruit,14,checkout,entrance
41,2019-09-02 07:09:00,checkout,14,LEFT,fruit
42,2019-09-02 07:07:00,spices,15,fruit,entrance
43,2019-09-02 07:08:00,fruit,15,checkout,spices
44,2019-09-02 07:12:00,checkout,15,LEFT,fruit
45,2019-09-02 07:07:00,dairy,16,spices,entrance
46,2019-09-02 07:09:00,spices,16,checkout,dairy
47,2019-09-02 07:11:00,checkout,16,LEFT,spices
48,2019-09-02 07:11:00,fruit,17,checkout,entrance
49,2019-09-02 07:22:00,checkout,17,LEFT,fruit
50,2019-09-02 07:12:00,fruit,18,dairy,entrance
51,2019-09-02 07:14:00,dairy,18,checkout,fruit
52,2019-09-02 07:17:00,checkout,18,LEFT,dairy
53,2019-09-02 07:12:00,spices,19,drinks,entrance
54,2019-09-02 07:13:00,drinks,19,checkout,spices
55,2019-09-02 07:20:00,checkout,19,LEFT,drinks
56,2019-09-02 07:12:00,drinks,20,checkout,entrance
57,2019-09-02 07:14:00,checkout,20,LEFT,drinks
58,2019-09-02 07:13:00,drinks,21,spices,entrance
59,2019-09-02 07:15:00,spices,21,checkout,drinks
60,2019-09-02 07:16:00,checkout,21,LEFT,spices
61,2019-09-02 07:13:00,fruit,22,dairy,entrance
62,2019-09-02 07:15:00,dairy,22,checkout,fruit
63,2019-09-02 07:17:00,checkout,22,LEFT,dairy
64,2019-09-02 07:14:00,fruit,23,checkout,entrance
65,2019-09-02 07:15:00,checkout,23,LEFT,fruit
66,2019-09-02 07:14:00,drinks,24,checkout,entrance
67,2019-09-02 07:20:00,checkout,24,LEFT,drinks
68,2019-09-02 07:16:00,spices,25,dairy,entrance
69,2019-09-02 07:17:00,dairy,25,spices,spices
70,2019-09-02 07:18:00,spices,25,drinks,dairy
71,2019-09-02 07:19:00,drinks,25,checkout,spices
72,2019-09-02 07:22:00,checkout,25,LEFT,drinks
73,2019-09-02 07:16:00,fruit,26,dairy,entrance
74,2019-09-02 07:20:00,dairy,26,checkout,fruit
75,2019-09-02 07:24:00,checkout,26,LEFT,dairy
76,2019-09-02 07:16:00,spices,27,dairy,entrance
77,2019-09-02 07:19:00,dairy,27,checkout,spices
78,2019-09-02 07:33:00,checkout,27,LEFT,dairy
79,2019-09-02 07:16:00,drinks,28,checkout,entrance
80,2019-09-02 07:19:00,checkout,28,LEFT,drinks
81,2019-09-02 07:16:00,drinks,29,checkout,entrance
82,2019-09-02 07:18:00,checkout,29,LEFT,drinks
83,2019-09-02 07:17:00,spices,30,drinks,entrance
84,2019-09-02 07:18:00,drinks,30,fruit,spices
85,2019-09-02 07:19:00,fruit,30,dairy,drinks
86,2019-09-02 07:20:00,dairy,30,fruit,fruit
87,2019-09-02 07:21:00,fruit,30,checkout,dairy
88,2019-09-02 07:23:00,checkout,30,LEFT,fruit
89,2019-09-02 07:17:00,spices,31,checkout,entrance
90,2019-09-02 07:18:00,checkout,31,LEFT,spices
91,2019-09-02 07:17:00,drinks,32,checkout,entrance
92,2019-09-02 07:20:00,checkout,32,LEFT,drinks
93,2019-09-02 07:17:00,fruit,33,dairy,entrance
94,2019-09-02 07:20:00,dairy,33,spices,fruit
95,2019-09-02 07:22:00,spices,33,dairy,dairy
96,2019-09-02 07:23:00,dairy,33,drinks,spices
97,2019-09-02 07:24:00,drinks,33,spices,dairy
98,2019-09-02 07:26:00,spices,33,drinks,drinks
99,2019-09-02 07:27:00,drinks,33,checkout,spices
100,2019-09-02 07:33:00,checkout,33,LEFT,drinks
101,2019-09-02 07:17:00,spices,34,drinks,entrance
102,2019-09-02 07:18:00,drinks,34,spices,spices
103,2019-09-02 07:25:00,spices,34,fruit,drinks
104,2019-09-02 07:26:00,fruit,34,checkout,spices
105,2019-09-02 07:27:00,checkout,34,LEFT,fruit
106,2019-09-02 07:18:00,dairy,35,drinks,entrance
107,2019-09-02 07:19:00,drinks,35,checkout,dairy
108,2019-09-02 07:22:00,checkout,35,LEFT,drinks
109,2019-09-02 07:20:00,dairy,36,checkout,entrance
110,2019-09-02 07:21:00,checkout,36,LEFT,dairy
111,2019-09-02 07:22:00,fruit,37,checkout,entrance
112,2019-09-02 07:26:00,checkout,37,LEFT,fruit
113,2019-09-02 07:22:00,fruit,38,dairy,entrance
114,2019-09-02 07:26:00,dairy,38,checkout,fruit
115,2019-09-02 07:29:00,checkout,38,LEFT,dairy
116,2019-09-02 07:26:00,dairy,39,checkout,entrance
117,2019-09-02 07:27:00,checkout,39,LEFT,dairy
118,2019-09-02 07:26:00,dairy,40,spices,entrance
119,2019-09-02 07:29:00,spices,40,checkout,dairy
120,2019-09-02 07:30:00,checkout,40,LEFT,spices
121,2019-09-02 07:26:00,drinks,41,dairy,entrance
122,2019-09-02 07:27:00,dairy,41,spices,drinks
123,2019-09-02 07:28:00,spices,41,drinks,dairy
124,2019-09-02 07:30:00,drinks,41,checkout,spices
125,2019-09-02 07:33:00,checkout,41,LEFT,drinks
126,2019-09-02 07:26:00,dairy,42,spices,entrance
127,2019-09-02 07:30:00,spices,42,fruit,dairy
128,2019-09-02 07:32:00,fruit,42,dairy,spices
129,2019-09-02 07:33:00,dairy,42,checkout,fruit
130,2019-09-02 07:44:00,checkout,42,LEFT,dairy
131,2019-09-02 07:26:00,fruit,43,dairy,entrance
132,2019-09-02 07:28:00,dairy,43,fruit,fruit
133,2019-09-02 07:39:00,fruit,43,dairy,dairy
134,2019-09-02 07:41:00,dairy,43,checkout,fruit
135,2019-09-02 07:43:00,checkout,43,LEFT,dairy
136,2019-09-02 07:26:00,fruit,44,checkout,entrance
137,2019-09-02 07:27:00,checkout,44,LEFT,fruit
138,2019-09-02 07:26:00,spices,45,dairy,entrance
139,2019-09-02 07:27:00,dairy,45,fruit,spices
140,2019-09-02 07:30:00,fruit,45,drinks,dairy
141,2019-09-02 07:31:00,drinks,45,fruit,fruit
142,2019-09-02 07:34:00,fruit,45,dairy,drinks
143,2019-09-02 07:36:00,dairy,45,checkout,fruit
144,2019-09-02 07:55:00,checkout,45,LEFT,dairy
145,2019-09-02 07:26:00,fruit,46,checkout,entrance
146,2019-09-02 07:27:00,checkout,46,LEFT,fruit
147,2019-09-02 07:27:00,drinks,47,fruit,entrance
148,2019-09-02 07:28:00,fruit,47,dairy,drinks
149,2019-09-02 07:32:00,dairy,47,checkout,fruit
150,2019-09-02 07:36:00,checkout,47,LEFT,dairy
151,2019-09-02 07:27:00,drinks,48,checkout,entrance
152,2019-09-02 07:28:00,checkout,48,LEFT,drinks
153,2019-09-02 07:27:00,spices,49,checkout,entrance
154,2019-09-02 07:28:00,checkout,49,LEFT,spices
155,2019-09-02 07:28:00,fruit,50,drinks,entrance
156,2019-09-02 07:29:00,drinks,50,spices,fruit
157,2019-09-02 07:31:00,spices,50,checkout,drinks
158,2019-09-02 07:32:00,checkout,50,LEFT,spices
159,2019-09-02 07:28:00,fruit,51,dairy,entrance
160,2019-09-02 07:31:00,dairy,51,checkout,fruit
161,2019-09-02 07:33:00,checkout,51,LEFT,dairy
162,2019-09-02 07:29:00,drinks,52,spices,entrance
163,2019-09-02 07:31:00,spices,52,fruit,drinks
164,2019-09-02 07:33:00,fruit,52,drinks,spices
165,2019-09-02 07:36:00,drinks,52,fruit,fruit
166,2019-09-02 07:37:00,fruit,52,checkout,drinks
167,2019-09-02 07:39:00,checkout,52,LEFT,fruit
168,2019-09-02 07:29:00,fruit,53,checkout,entrance
169,2019-09-02 07:32:00,checkout,53,LEFT,fruit
170,2019-09-02 07:30:00,spices,54,dairy,entrance
171,2019-09-02 07:31:00,dairy,54,checkout,spices
172,2019-09-02 07:37:00,checkout,54,LEFT,dairy
173,2019-09-02 07:30:00,spices,55,dairy,entrance
174,2019-09-02 07:32:00,dairy,55,checkout,spices
175,2019-09-02 07:35:00,checkout,55,LEFT,dairy
176,2019-09-02 07:30:00,fruit,56,dairy,entrance
177,2019-09-02 07:33:00,dairy,56,spices,fruit
178,2019-09-02 07:34:00,spices,56,drinks,dairy
179,2019-09-02 07:35:00,drinks,56,checkout,spices
180,2019-09-02 07:40:00,checkout,56,LEFT,drinks
181,2019-09-02 07:30:00,fruit,57,checkout,entrance
182,2019-09-02 07:31:00,checkout,57,LEFT,fruit
183,2019-09-02 07:30:00,drinks,58,checkout,entrance
184,2019-09-02 07:32:00,checkout,58,LEFT,drinks
185,2019-09-02 07:30:00,dairy,59,drinks,entrance
186,2019-09-02 07:35:00,drinks,59,fruit,dairy
